Amount,Posted Date,Vendor,Description,Category
7.98,03/10/2014 12:00:00 AM,ROSS STORES #1034,GENERAL PURCHASE,Clothes
139.99,10/25/2013 12:00:00 AM,BEST BUY      00025031,MY BEST BUY ELITE EACH|1.2CUFT STAINLESS ST EACH,Electronics
23.98,09/02/2013 12:00:00 AM,BEST BUY      00025031,REWARD ZONE CARD EACH|HP 564 XL INK - BLK EACH|HP,Electronics
27.66,06/19/2014 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
19.4,06/16/2014 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
8.74,06/16/2014 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
19.49,06/13/2014 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
28.09,06/11/2014 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
37.44,06/11/2014 12:00:00 AM,WM SUPERCENTER #137,GENERAL PURCHASE,Grocery
1178,05/30/2014 12:00:00 AM,GroceryMANUFACTURERS AS,GENERAL PURCHASE,Grocery
176.87,05/20/2014 12:00:00 AM,WAL-MART #4241,GENERAL PURCHASE,Grocery
220.33,05/09/2014 12:00:00 AM,STAPLES       00105288,HP 564XL BLK/564 CMY 4PK C EA|INK AND TONER SAVING,Grocery
27.44,05/01/2014 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
104.5,04/23/2014 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
55.27,04/23/2014 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
7.98,04/21/2014 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
110.82,04/21/2014 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
13.47,04/21/2014 12:00:00 AM,WM SUPERCENTER #137,GENERAL PURCHASE,Grocery
142.68,04/17/2014 12:00:00 AM,WM SUPERCENTER #137,GENERAL PURCHASE,Grocery
143.46,04/02/2014 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
28.06,03/28/2014 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
51.22,03/27/2014 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
128.75,03/26/2014 12:00:00 AM,WM SUPERCENTER #137,GENERAL PURCHASE,Grocery
41.23,03/10/2014 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
5.99,03/06/2014 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
69.9,02/26/2014 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
63.82,02/20/2014 12:00:00 AM,WAL-MART #4241,GENERAL PURCHASE,Grocery
119,02/20/2014 12:00:00 AM,WAL-MART #4241,GENERAL PURCHASE,Grocery
29.16,01/17/2014 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
21.42,11/18/2013 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
82.11,11/13/2013 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
6.94,11/07/2013 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
6.98,11/04/2013 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
43.87,10/28/2013 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
53.91,10/18/2013 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
63.6,10/17/2013 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
49.87,09/30/2013 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
23.93,09/18/2013 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
150.01,09/17/2013 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
71.01,09/16/2013 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
3788,09/06/2013 12:00:00 AM,GroceryMANUFACTURERS AS,GENERAL PURCHASE,Grocery
57.34,09/02/2013 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
19.99,08/23/2013 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
89.14,07/30/2013 12:00:00 AM,WAL-MART #4241,GENERAL PURCHASE,Grocery
126.89,07/23/2013 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
12.47,07/18/2013 12:00:00 AM,FOOD PYRAMID #69,GENERAL PURCHASE,Grocery
6.72,07/15/2013 12:00:00 AM,WAL-MART #0137,GENERAL PURCHASE,Grocery
99.8,09/20/2013 12:00:00 AM,FIRST CHOICE COFFEE SERVI,00000000000000000000000073 73|PARTS EACH,Maintenance
8.99,12/17/2013 12:00:00 AM,OREILLY AUTO  00001644,SQUEEGEE EA,Maintenance
22.09,06/19/2014 12:00:00 AM,HOBBY-LOBBY #0005,GENERAL PURCHASE,Misc.
32.72,05/09/2014 12:00:00 AM,CONSUMERS,GENERAL PURCHASE,Misc.
9.94,04/22/2014 12:00:00 AM,LOWES #00241,INDOOR DIAL TIMER EA,Misc.
15.84,04/21/2014 12:00:00 AM,PARTY GALAXY #200,GENERAL PURCHASE,Misc.
3,03/10/2014 12:00:00 AM,DOLRTREE 2748 00027482,GENERAL PURCHASE,Misc.
160.36,02/24/2014 12:00:00 AM,CHEFSTORE OKC 8101,GENERAL PURCHASE,Misc.
87.59,02/14/2014 12:00:00 AM,CONSUMERS,GENERAL PURCHASE,Misc.
13,01/20/2014 12:00:00 AM,BIG LOTS STORES - #1972,GENERAL PURCHASE,Misc.
19,01/20/2014 12:00:00 AM,DOLRTREE 2748 00027482,GENERAL PURCHASE,Misc.
